nodenumber     x-coordinate     y-coordinate pressure-coefficient skin-friction-coef 
         1 -2.714446783E-01 -8.450306207E-02 -1.642133079E-01  1.695875690E-01 
         2 -2.586256266E-01 -8.443333209E-02 -1.738601761E-01  1.622555861E-01 
         3 -2.840146124E-01 -8.441949636E-02 -1.530430976E-01  1.774422441E-01 
         4 -2.455694675E-01 -8.422031999E-02 -1.821389301E-01  1.554503084E-01 
         5 -2.963235974E-01 -8.417316526E-02 -1.401392592E-01  1.858135040E-01 
         6 -2.322884947E-01 -8.387418836E-02 -1.892832154E-01  1.491669608E-01 
         7 -3.083600998E-01 -8.375520259E-02 -1.252033159E-01  1.946791328E-01 
         8 -2.187952399E-01 -8.340512216E-02 -1.954734154E-01  1.433895019E-01 
         9 -3.201129436E-01 -8.315779269E-02 -1.080013129E-01  2.040008466E-01 
        10 -2.051024437E-01 -8.282301575E-02 -2.008683268E-01  1.380960015E-01 
        11 -3.315711021E-01 -8.237424493E-02 -8.828437408E-02  2.137271935E-01 
        12 -1.912230253E-01 -8.213731647E-02 -2.056096468E-01  1.332604783E-01 
        13 -3.427239954E-01 -8.139922470E-02 -6.580577014E-02  2.237898431E-01 
        14 -1.771701276E-01 -8.135688305E-02 -2.098197187E-01  1.288536102E-01 
        15 -1.629570127E-01 -8.048969507E-02 -2.136035190E-01  1.248425239E-01 
        16 -3.535613120E-01 -8.022900671E-02 -4.032659393E-02  2.341061062E-01 
        17 -1.485971659E-01 -7.954302430E-02 -2.170498276E-01  1.211948002E-01 
        18 -3.640724421E-01 -7.886158675E-02 -1.163417005E-02  2.445745040E-01 
        19 -1.341041476E-01 -7.852316648E-02 -2.202324358E-01  1.178778042E-01 
        20 -1.194916666E-01 -7.743547857E-02 -2.232119263E-01  1.148569999E-01 
        21 -3.742481470E-01 -7.729656994E-02  2.046583470E-02  2.550791681E-01 
        22 -1.047735587E-01 -7.628437877E-02 -2.260353100E-01  1.120993891E-01 
        23 -3.840791285E-01 -7.553547621E-02  5.613961022E-02  2.654917145E-01 
        24 -8.996371925E-02 -7.507358491E-02 -2.287387293E-01  1.095742425E-01 
        25 -7.507614046E-02 -7.380591333E-02 -2.313486150E-01  1.072516899E-01 
        26 -3.935564756E-01 -7.358161360E-02  9.550758124E-02  2.756686439E-01 
        27 -6.012484059E-02 -7.248370349E-02 -2.338829610E-01  1.051042105E-01 
        28 -4.026716352E-01 -7.143998891E-02  1.386501396E-01  2.854514973E-01 
        29 -4.512390867E-02 -7.110867649E-02 -2.363523585E-01  1.031058718E-01 
        30 -3.008742630E-02 -6.968231499E-02 -2.387612608E-01  1.012338141E-01 
        31 -4.114164710E-01 -6.911728531E-02  1.855985983E-01  2.946679205E-01 
        32 -1.502949465E-02 -6.820597500E-02 -2.411099668E-01  9.946893010E-02 
        33  3.580834164E-05 -6.668096781E-02 -2.433958118E-01  9.779418566E-02 
        34 -4.197832644E-01 -6.662164629E-02  2.363351754E-01  3.031342947E-01 
        35  1.509429049E-02 -6.510882825E-02 -2.456136450E-01  9.619598652E-02 
        36 -4.277647436E-01 -6.396262348E-02  2.907957116E-01  3.106487685E-01 
        37  3.013208508E-02 -6.349134445E-02 -2.477572263E-01  9.466368011E-02 
        38  4.513527080E-02 -6.183073670E-02 -2.498202325E-01  9.318959569E-02 
        39 -4.353540540E-01 -6.115071476E-02  3.488573229E-01  3.169824789E-01 
        40  6.009000912E-02 -6.012979522E-02 -2.517974290E-01  9.176966185E-02 
        41  7.498254627E-02 -5.839186162E-02 -2.536856464E-01  9.040186489E-02 
        42 -4.425447881E-01 -5.819742382E-02  4.103466420E-01  3.218776053E-01 
        43  8.979925513E-02 -5.662088469E-02 -2.554833797E-01  8.908641765E-02 
