nodenumber     x-coordinate     y-coordinate pressure-coefficient skin-friction-coef 
         1 -1.629570127E-01 -5.909392610E-02 -1.315778870E-01  9.208973925E-02 
         2 -1.485971659E-01 -5.907852575E-02 -1.419502348E-01  8.918419645E-02 
         3 -1.771701276E-01 -5.895803869E-02 -1.200035640E-01  9.491016189E-02 
         4 -1.341041476E-01 -5.890794843E-02 -1.510959228E-01  8.620561170E-02 
         5 -1.912230253E-01 -5.867602676E-02 -1.072616138E-01  9.763783972E-02 
         6 -1.194916666E-01 -5.857966840E-02 -1.590164131E-01  8.316839852E-02 
         7 -2.051024437E-01 -5.825423449E-02 -9.339084976E-02  1.002699368E-01 
         8 -1.047735587E-01 -5.809257179E-02 -1.657258643E-01  8.008992468E-02 
         9 -2.187952399E-01 -5.769997835E-02 -7.844804227E-02  1.028085918E-01 
        10 -8.996371925E-02 -5.744716525E-02 -1.712529209E-01  7.699045436E-02 
        11 -2.322884947E-01 -5.702143162E-02 -6.249460132E-02  1.052614905E-01 
        12 -7.507614046E-02 -5.664531887E-02 -1.756409635E-01  7.389092402E-02 
        13 -2.455694675E-01 -5.622740835E-02 -4.559422967E-02  1.076405697E-01 
        14 -6.012484059E-02 -5.569051951E-02 -1.789470784E-01  7.081285982E-02 
        15 -2.586256266E-01 -5.532718450E-02 -2.781277518E-02  1.099621093E-01 
        16 -4.512390867E-02 -5.458761379E-02 -1.812416061E-01  6.777665740E-02 
        17 -2.714446783E-01 -5.433033034E-02 -9.214823856E-03  1.122471685E-01 
        18 -3.008742630E-02 -5.334290117E-02 -1.826044498E-01  6.479841547E-02 
        19 -2.840146124E-01 -5.324643850E-02  1.014267561E-02  1.145209968E-01 
        20 -2.963235974E-01 -5.208503455E-02  3.021293750E-02  1.168125502E-01 
        21 -1.502949465E-02 -5.196399987E-02 -1.831082648E-01  6.190719444E-02 
        22 -3.083600998E-01 -5.085529014E-02  5.096123378E-02  1.191538295E-01 
        23  3.580834164E-05 -5.045967549E-02 -1.828387017E-01  5.911919906E-02 
        24 -3.201129436E-01 -4.956594110E-02  7.236878824E-02  1.215800075E-01 
        25  1.509429049E-02 -4.883981124E-02 -1.818967214E-01  5.643780515E-02 
        26 -3.315711021E-01 -4.822509363E-02  9.443554596E-02  1.241281326E-01 
        27  3.013208508E-02 -4.711515456E-02 -1.803726270E-01  5.388074532E-02 
        28 -3.427239954E-01 -4.684009403E-02  1.171817703E-01  1.268368521E-01 
        29 -3.535613120E-01 -4.541748017E-02  1.406527975E-01  1.297461417E-01 
        30  4.513527080E-02 -4.529724643E-02 -1.783520387E-01  5.145993294E-02 
        31 -3.640724421E-01 -4.396294057E-02  1.649121378E-01  1.328955372E-01 
        32  6.009000912E-02 -4.339826480E-02 -1.759184878E-01  4.918228984E-02 
        33 -3.742481470E-01 -4.248105735E-02  1.900554659E-01  1.363245059E-01 
        34  7.498254627E-02 -4.143080860E-02 -1.731525356E-01  4.705292474E-02 
        35 -3.840791285E-01 -4.097553343E-02  2.162056213E-01  1.400717382E-01 
        36 -3.935564756E-01 -3.944911435E-02  2.435144360E-01  1.441729003E-01 
