nodenumber     x-coordinate     y-coordinate pressure-coefficient skin-friction-coef 
         1 -3.083600998E-01 -2.385440096E-02 -3.468328879E-01  7.362031186E-04 
         2 -2.963235974E-01 -2.383741364E-02 -3.323380763E-01  1.072545551E-03 
         3 -3.201129436E-01 -2.381870523E-02 -3.622271500E-01  3.488391376E-04 
         4 -2.840146124E-01 -2.377000824E-02 -3.186872160E-01  1.365270908E-03 
         5 -3.315711021E-01 -2.372827381E-02 -3.785595021E-01  2.355894859E-04 
         6 -2.714446783E-01 -2.365466207E-02 -3.058308033E-01  1.626204183E-03 
         7 -3.427239954E-01 -2.358131483E-02 -3.958853476E-01  5.912862294E-04 
         8 -2.586256266E-01 -2.349397540E-02 -2.937429642E-01  1.854326964E-03 
         9 -3.535613120E-01 -2.337634191E-02 -4.142569563E-01  1.152008931E-03 
        10 -2.455694675E-01 -2.329067141E-02 -2.823653215E-01  2.045445438E-03 
        11 -3.640724421E-01 -2.311218716E-02 -4.337301343E-01  1.780322930E-03 
        12 -2.322884947E-01 -2.304752916E-02 -2.716609789E-01  2.206502921E-03 
        13 -3.742481470E-01 -2.278799564E-02 -4.543709242E-01  2.483964324E-03 
        14 -2.187952399E-01 -2.276733145E-02 -2.616043951E-01  2.344459518E-03 
        15 -2.051024437E-01 -2.245284617E-02 -2.521500166E-01  2.459300213E-03 
        16 -3.840791285E-01 -2.240327746E-02 -4.762526836E-01  3.271944540E-03 
        17 -1.912230253E-01 -2.210675925E-02 -2.432609982E-01  2.552153362E-03 
        18 -3.935564756E-01 -2.195790596E-02 -4.994627433E-01  4.155487307E-03 
        19 -1.771701276E-01 -2.173163742E-02 -2.349054313E-01  2.627693402E-03 
        20 -4.026716352E-01 -2.145209350E-02 -5.240974581E-01  5.148734216E-03 
        21 -1.629570127E-01 -2.132989466E-02 -2.270508906E-01  2.687788243E-03 
        22 -1.485971659E-01 -2.090379223E-02 -2.196634324E-01  2.733264278E-03 
        23 -4.114164710E-01 -2.088642120E-02 -5.502733941E-01  6.269716331E-03 
        24 -1.341041476E-01 -2.045535669E-02 -2.127148201E-01  2.766876064E-03 
        25 -4.197832644E-01 -2.026180923E-02 -5.781253913E-01  7.542659279E-03 
        26 -1.194916666E-01 -1.998640224E-02 -2.061784250E-01  2.790556751E-03 
        27 -4.277647436E-01 -1.957954094E-02 -6.078117158E-01  8.999122029E-03 
        28 -1.047735587E-01 -1.949848980E-02 -2.000254009E-01  2.804738985E-03 
        29 -8.996371925E-02 -1.899298653E-02 -1.942346406E-01  2.810917751E-03 
        30 -4.353540540E-01 -1.884116605E-02 -6.395223793E-01  1.068150378E-02 
        31 -7.507614046E-02 -1.847096160E-02 -1.887830155E-01  2.810915901E-03 
        32 -4.425447881E-01 -1.804858632E-02 -6.734778194E-01  1.264678032E-02 
        33 -6.012484059E-02 -1.793331653E-02 -1.836465555E-01  2.804993086E-03 
        34 -4.512390867E-02 -1.738070324E-02 -1.788081591E-01  2.793542405E-03 
        35 -4.493310452E-01 -1.720393822E-02 -7.099393509E-01  1.497105693E-02 
        36 -3.008742630E-02 -1.681362092E-02 -1.742516762E-01  2.778000436E-03 
        37 -4.557074606E-01 -1.630961895E-02 -7.492148703E-01  1.775708475E-02 
        38 -1.502949465E-02 -1.623241976E-02 -1.699581027E-01  2.759406054E-03 
        39  3.580834164E-05 -1.563734189E-02 -1.659072340E-01  2.737335604E-03 
        40 -4.616691172E-01 -1.536824182E-02 -7.916793035E-01  2.115022828E-02 
        41  1.509429049E-02 -1.502856985E-02 -1.620894423E-01  2.711605196E-03 
        42  3.013208508E-02 -1.440625638E-02 -1.584958396E-01  2.683908627E-03 
        43 -4.672116637E-01 -1.438258868E-02 -8.377603956E-01  2.536085632E-02 
        44  4.513527080E-02 -1.377059147E-02 -1.551078779E-01  2.655281622E-03 
        45 -4.723313749E-01 -1.335556339E-02 -8.879447430E-01  3.069451069E-02 
        46  6.009000912E-02 -1.312184706E-02 -1.519102318E-01  2.624719680E-03 
        47  7.498254627E-02 -1.246042550E-02 -1.488969096E-01  2.591740578E-03 
        48 -4.770250618E-01 -1.229014620E-02 -9.427701523E-01  3.761811656E-02 
