nodenumber     x-coordinate     y-coordinate pressure-coefficient skin-friction-coef 
         1 -2.840146124E-01 -4.228299111E-02 -3.710611384E-01  1.501537814E-02 
         2 -2.714446783E-01 -4.226166010E-02 -3.660104552E-01  1.435141430E-02 
         3 -2.963235974E-01 -4.224075377E-02 -3.766631204E-01  1.569620250E-02 
         4 -2.586256266E-01 -4.218071699E-02 -3.614652512E-01  1.371125300E-02 
         5 -3.083600998E-01 -4.213083908E-02 -3.828876710E-01  1.638894676E-02 
         6 -2.455694675E-01 -4.204400629E-02 -3.573565172E-01  1.310027414E-02 
         7 -3.201129436E-01 -4.194915667E-02 -3.898333639E-01  1.708538671E-02 
         8 -2.322884947E-01 -4.185510427E-02 -3.536192249E-01  1.251685618E-02 
         9 -3.315711021E-01 -4.169164598E-02 -3.976029881E-01  1.777122799E-02 
        10 -2.187952399E-01 -4.161734879E-02 -3.502268422E-01  1.196031348E-02 
        11 -3.427239954E-01 -4.135438800E-02 -4.063133512E-01  1.842629357E-02 
        12 -2.051024437E-01 -4.133373499E-02 -3.471388250E-01  1.143304622E-02 
        13 -1.912230253E-01 -4.100695625E-02 -3.443096179E-01  1.093222531E-02 
        14 -3.535613120E-01 -4.093370214E-02 -4.160934913E-01  1.902382357E-02 
        15 -1.771701276E-01 -4.063934088E-02 -3.417305886E-01  1.045698067E-02 
        16 -3.640724421E-01 -4.042622447E-02 -4.270807794E-01  1.953144297E-02 
        17 -1.629570127E-01 -4.023287073E-02 -3.393617324E-01  1.000767881E-02 
        18 -3.742481470E-01 -3.982891887E-02 -4.394409822E-01  1.990844599E-02 
        19 -1.485971659E-01 -3.978922963E-02 -3.371796470E-01  9.579909436E-03 
        20 -1.341041476E-01 -3.930979967E-02 -3.351779759E-01  9.172079114E-03 
        21 -3.840791285E-01 -3.913921863E-02 -4.533586620E-01  2.010053954E-02 
        22 -1.194916666E-01 -3.879569471E-02 -3.333342922E-01  8.783632612E-03 
        23 -3.935564756E-01 -3.835509717E-02 -4.690391873E-01  2.003851033E-02 
        24 -1.047735587E-01 -3.824780881E-02 -3.316403641E-01  8.413663947E-03 
        25 -8.996371925E-02 -3.766696155E-02 -3.300833970E-01  8.062728458E-03 
        26 -4.026716352E-01 -3.747503087E-02 -4.867316965E-01  1.963345368E-02 
        27 -7.507614046E-02 -3.705378622E-02 -3.286512981E-01  7.730912497E-03 
        28 -4.114164710E-01 -3.649814054E-02 -5.067043560E-01  1.877536197E-02 
        29 -6.012484059E-02 -3.640896827E-02 -3.273353198E-01  7.418580147E-03 
        30 -4.512390867E-02 -3.573317826E-02 -3.261244577E-01  7.126199051E-03 
        31 -4.197832644E-01 -3.542415425E-02 -5.292326341E-01  1.733313047E-02 
        32 -3.008742630E-02 -3.502721712E-02 -3.250095550E-01  6.853782727E-03 
        33 -1.502949465E-02 -3.429204226E-02 -3.239858786E-01  6.602344250E-03 
        34 -4.277647436E-01 -3.425348923E-02 -5.546678000E-01  1.514758838E-02 
        35  3.580834164E-05 -3.352881595E-02 -3.230413939E-01  6.372866201E-03 
        36 -4.353540540E-01 -3.298716620E-02 -5.836201138E-01  1.192925974E-02 
        37  1.509429049E-02 -3.273893893E-02 -3.221689166E-01  6.165597571E-03 
        38  3.013208508E-02 -3.192408383E-02 -3.213603260E-01  5.980992341E-03 
        39 -4.425447881E-01 -3.162691370E-02 -6.156077552E-01  7.364008511E-03 
        40  4.513527080E-02 -3.108621016E-02 -3.206062929E-01  5.818941609E-03 
        41  6.009000912E-02 -3.022756800E-02 -3.198994001E-01  5.678846644E-03 
        42 -4.493310452E-01 -3.017505258E-02 -6.510012473E-01  3.470926747E-03 
        43  7.498254627E-02 -2.935070172E-02 -3.192322891E-01  5.559936780E-03 
        44 -4.557074606E-01 -2.863452956E-02 -6.909846360E-01  7.056679242E-03 
        45  8.979925513E-02 -2.845839225E-02 -3.185976813E-01  5.461080088E-03 
        46  1.045266315E-01 -2.755367383E-02 -3.179889841E-01  5.380794579E-03 
        47 -4.616691172E-01 -2.700886689E-02 -7.354883587E-01  1.810491502E-02 
        48  1.191513166E-01 -2.663973905E-02 -3.174002386E-01  5.317319348E-03 
        49  1.336601228E-01 -2.571990341E-02 -3.168261302E-01  5.268674410E-03 
        50 -4.672116637E-01 -2.530207112E-02 -7.845024946E-01  3.278898097E-02 
        51  1.480400264E-01 -2.479755506E-02 -3.162618968E-01  5.232718012E-03 
        52  1.622782052E-01 -2.387607098E-02 -3.157032587E-01  5.207103245E-03 
        53 -4.723313749E-01 -2.351857908E-02 -8.380512346E-01  5.216942546E-02 
        54  1.763620377E-01 -2.295874432E-02 -3.151469501E-01  5.189364002E-03 
        55  1.902790964E-01 -2.204874158E-02 -3.145903566E-01  5.177076409E-03 
        56 -4.770250618E-01 -2.166313864E-02 -8.957531871E-01  7.768991142E-02 
        57  2.040172368E-01 -2.114900947E-02 -3.140308891E-01  5.167728009E-03 
        58  2.175645083E-01 -2.026221529E-02 -3.134667253E-01  5.158633296E-03 
        59 -4.812902212E-01 -1.974073239E-02 -9.566133574E-01  1.112559719E-01 
        60  2.309092581E-01 -1.939071715E-02 -3.128969419E-01  5.147080692E-03 
        61  2.440401018E-01 -1.853648201E-02 -3.123210438E-01  5.130359613E-03 
        62 -4.851250350E-01 -1.775623858E-02 -1.018634315E+00  1.553549224E-01 
        63  2.569459379E-01 -1.770109311E-02 -3.117389369E-01  5.105686460E-03 
        64  2.696159482E-01 -1.688570529E-02 -3.111512211E-01  5.070185965E-03 
        65  2.820396721E-01 -1.609103382E-02 -3.105590699E-01  5.020901556E-03 
        66 -4.885282218E-01 -1.571426727E-02 -1.078134260E+00  2.131590374E-01 
        67  2.942069471E-01 -1.531737484E-02 -3.099641775E-01  4.954778865E-03 
        68  3.061079085E-01 -1.456463337E-02 -3.093688916E-01  4.868652828E-03 
        69  3.177331090E-01 -1.383232791E-02 -3.087761368E-01  4.759230771E-03 
        70 -4.914990962E-01 -1.361857820E-02 -1.128446801E+00  2.883869771E-01 
        71  3.290735483E-01 -1.311965287E-02 -3.081894273E-01  4.623072930E-03 
        72  3.401204944E-01 -1.242553815E-02 -3.076128597E-01  4.456576379E-03 
        73  3.508657217E-01 -1.174870133E-02 -3.070511052E-01  4.255945498E-03 
        74 -4.940368831E-01 -1.147159934E-02 -1.158701440E+00  3.844427640E-01 
        75  3.613013029E-01 -1.108772680E-02 -3.065094139E-01  4.017182838E-03 
        76  3.714197874E-01 -1.044113748E-02 -3.059934924E-01  3.736023930E-03 
        77  3.812142015E-01 -9.807454422E-03 -3.055096517E-01  3.407858492E-03 
        78 -4.961396158E-01 -9.273828939E-03 -1.150804059E+00  5.013403858E-01 
        79  3.906779587E-01 -9.185299277E-03 -3.050633878E-01  3.027394759E-03 
        80  3.998049796E-01 -8.573430590E-03 -3.046616294E-01  2.588649343E-03 
        81  4.085896015E-01 -7.970834151E-03 -3.043119384E-01  2.084937243E-03 
        82  4.170267582E-01 -7.376762107E-03 -3.040286147E-01  1.509011284E-03 
        83 -4.978021979E-01 -7.023616228E-03 -1.080535359E+00  6.332548985E-01 
        84  4.251117706E-01 -6.790784188E-03 -3.038193515E-01  8.514627532E-04 
        85  4.328405559E-01 -6.212810520E-03 -3.037161699E-01  3.924623229E-04 
        86  4.402094483E-01 -5.643141456E-03 -3.036846561E-01  7.425132788E-04 
