nodenumber     x-coordinate     y-coordinate pressure-coefficient skin-friction-coef 
         1 -2.840146124E-01 -4.228299111E-02  6.924193463E-02  9.403872577E-02 
         2 -2.714446783E-01 -4.226166010E-02  5.977650422E-02  9.099275126E-02 
         3 -2.963235974E-01 -4.224075377E-02  7.940684284E-02  9.733822407E-02 
         4 -2.586256266E-01 -4.218071699E-02  5.095635097E-02  8.818564521E-02 
         5 -3.083600998E-01 -4.213083908E-02  9.036895784E-02  1.009097980E-01 
         6 -2.455694675E-01 -4.204400629E-02  4.267777887E-02  8.560240719E-02 
         7 -3.201129436E-01 -4.194915667E-02  1.022810511E-01  1.047713070E-01 
         8 -2.322884947E-01 -4.185510427E-02  3.485855242E-02  8.322617683E-02 
         9 -3.315711021E-01 -4.169164598E-02  1.152691570E-01  1.089377379E-01 
        10 -2.187952399E-01 -4.161734879E-02  2.743637592E-02  8.104061055E-02 
        11 -3.427239954E-01 -4.135438800E-02  1.294774470E-01  1.134238724E-01 
        12 -2.051024437E-01 -4.133373499E-02  2.035596350E-02  7.902986806E-02 
        13 -1.912230253E-01 -4.100695625E-02  1.356974723E-02  7.717879351E-02 
        14 -3.535613120E-01 -4.093370214E-02  1.450663772E-01  1.182430666E-01 
        15 -1.771701276E-01 -4.063934088E-02  7.037661401E-03  7.547269620E-02 
        16 -3.640724421E-01 -4.042622447E-02  1.622052974E-01  1.234063302E-01 
        17 -1.629570127E-01 -4.023287073E-02  7.265783617E-04  7.389737528E-02 
        18 -3.742481470E-01 -3.982891887E-02  1.810838626E-01  1.289232243E-01 
        19 -1.485971659E-01 -3.978922963E-02 -5.390429510E-03  7.243972077E-02 
        20 -1.341041476E-01 -3.930979967E-02 -1.133486949E-02  7.108744485E-02 
        21 -3.840791285E-01 -3.913921863E-02  2.019104467E-01  1.348001677E-01 
        22 -1.194916666E-01 -3.879569471E-02 -1.712329717E-02  6.982866585E-02 
        23 -3.935564756E-01 -3.835509717E-02  2.249074499E-01  1.410383762E-01 
        24 -1.047735587E-01 -3.824780881E-02 -2.276795775E-02  6.865276063E-02 
        25 -8.996371925E-02 -3.766696155E-02 -2.827771902E-02  6.755045511E-02 
        26 -4.026716352E-01 -3.747503087E-02  2.503142909E-01  1.476314647E-01 
        27 -7.507614046E-02 -3.705378622E-02 -3.365871486E-02  6.651304302E-02 
        28 -4.114164710E-01 -3.649814054E-02  2.783880392E-01  1.545632637E-01 
        29 -6.012484059E-02 -3.640896827E-02 -3.891459354E-02  6.553307982E-02 
        30 -4.512390867E-02 -3.573317826E-02 -4.404742989E-02  6.460429820E-02 
        31 -4.197832644E-01 -3.542415425E-02  3.094044745E-01  1.618032856E-01 
        32 -3.008742630E-02 -3.502721712E-02 -4.905850625E-02  6.372151438E-02 
        33 -1.502949465E-02 -3.429204226E-02 -5.394860934E-02  6.288089371E-02 
        34 -4.277647436E-01 -3.425348923E-02  3.436548630E-01  1.692989358E-01 
        35  3.580834164E-05 -3.352881595E-02 -5.871898542E-02  6.207952746E-02 
        36 -4.353540540E-01 -3.298716620E-02  3.814422103E-01  1.769660820E-01 
        37  1.509429049E-02 -3.273893893E-02 -6.337104399E-02  6.131549082E-02 
        38  3.013208508E-02 -3.192408383E-02 -6.790713836E-02  6.058794435E-02 
        39 -4.425447881E-01 -3.162691370E-02  4.230642374E-01  1.846806861E-01 
        40  4.513527080E-02 -3.108621016E-02 -7.233101826E-02  5.989687940E-02 
        41  6.009000912E-02 -3.022756800E-02 -7.664766270E-02  5.924309237E-02 
        42 -4.493310452E-01 -3.017505258E-02  4.688025540E-01  1.922684209E-01 
        43  7.498254627E-02 -2.935070172E-02 -8.086384027E-02  5.862801805E-02 
        44 -4.557074606E-01 -2.863452956E-02  5.188931887E-01  1.995044380E-01 
        45  8.979925513E-02 -2.845839225E-02 -8.498767753E-02  5.805350306E-02 
        46  1.045266315E-01 -2.755367383E-02 -8.902875610E-02  5.752193250E-02 
        47 -4.616691172E-01 -2.700886689E-02  5.737188600E-01  2.060308944E-01 
        48  1.191513166E-01 -2.663973905E-02 -9.299815632E-02  5.703583191E-02 
        49  1.336601228E-01 -2.571990341E-02 -9.690801297E-02  5.659774140E-02 
        50 -4.672116637E-01 -2.530207112E-02  6.335014272E-01  2.112657208E-01 
        51  1.480400264E-01 -2.479755506E-02 -1.007714627E-01  5.621031989E-02 
        52  1.622782052E-01 -2.387607098E-02 -1.046022969E-01  5.587597586E-02 
        53 -4.723313749E-01 -2.351857908E-02  6.982413533E-01  2.143793964E-01 
        54  1.763620377E-01 -2.295874432E-02 -1.084145943E-01  5.559677111E-02 
        55  1.902790964E-01 -2.204874158E-02 -1.122224507E-01  5.537454049E-02 
        56 -4.770250618E-01 -2.166313864E-02  7.676942993E-01  2.142126511E-01 
        57  2.040172368E-01 -2.114900947E-02 -1.160396716E-01  5.521059732E-02 
        58  2.175645083E-01 -2.026221529E-02 -1.198793718E-01  5.510567483E-02 
        59 -4.812902212E-01 -1.974073239E-02  8.413510862E-01  2.090682339E-01 
        60  2.309092581E-01 -1.939071715E-02 -1.237537057E-01  5.505998927E-02 
        61  2.440401018E-01 -1.853648201E-02 -1.276735391E-01  5.507305430E-02 
        62 -4.851250350E-01 -1.775623858E-02  9.179958526E-01  1.964548904E-01 
        63  2.569459379E-01 -1.770109311E-02 -1.316481675E-01  5.514379605E-02 
        64  2.696159482E-01 -1.688570529E-02 -1.356850956E-01  5.527047829E-02 
        65  2.820396721E-01 -1.609103382E-02 -1.397897279E-01  5.545057361E-02 
        66 -4.885282218E-01 -1.571426727E-02  9.952649910E-01  1.728733883E-01 
        67  2.942069471E-01 -1.531737484E-02 -1.439652797E-01  5.568097533E-02 
        68  3.061079085E-01 -1.456463337E-02 -1.482126316E-01  5.595799713E-02 
        69  3.177331090E-01 -1.383232791E-02 -1.525301307E-01  5.627729635E-02 
        70 -4.914990962E-01 -1.361857820E-02  1.069135389E+00  1.334898578E-01 
        71  3.290735483E-01 -1.311965287E-02 -1.569137316E-01  5.663403437E-02 
        72  3.401204944E-01 -1.242553815E-02 -1.613569206E-01  5.702297201E-02 
        73  3.508657217E-01 -1.174870133E-02 -1.658507946E-01  5.743851904E-02 
        74 -4.940368831E-01 -1.147159934E-02  1.131620538E+00  7.283882406E-02 
        75  3.613013029E-01 -1.108772680E-02 -1.703841628E-01  5.787490250E-02 
        76  3.714197874E-01 -1.044113748E-02 -1.749438273E-01  5.832628039E-02 
        77  3.812142015E-01 -9.807454422E-03 -1.795148565E-01  5.878691397E-02 
        78 -4.961396158E-01 -9.273828939E-03  1.170705575E+00  4.967114067E-02 
        79  3.906779587E-01 -9.185299277E-03 -1.840808667E-01  5.925139419E-02 
        80  3.998049796E-01 -8.573430590E-03 -1.886244674E-01  5.971472338E-02 
        81  4.085896015E-01 -7.970834151E-03 -1.931275933E-01  6.017263686E-02 
        82  4.170267582E-01 -7.376762107E-03 -1.975720852E-01  6.062187397E-02 
        83 -4.978021979E-01 -7.023616228E-03  1.173432451E+00  1.261428116E-01 
        84  4.251117706E-01 -6.790784188E-03 -2.019399925E-01  6.106018695E-02 
        85  4.328405559E-01 -6.212810520E-03 -2.062140163E-01  6.148678876E-02 
        86  4.402094483E-01 -5.643141456E-03 -2.103777219E-01  6.190262064E-02 
        87  4.472154081E-01 -5.082427524E-03 -2.144156681E-01  6.231070159E-02 
        88 -4.990133345E-01 -4.718801472E-03  1.111658986E+00  2.683932241E-01 
