	Cl,p	Cl,f	Cl	Cd,p	Cd,f	Cd
-23	-0.43049195	0.010039802	-0.42045215	0.23798573	0.08409746	0.32208319
-21	-0.41851869	0.00823257	-0.41028612	0.21495122	0.086637536	0.30158875
-19	-0.40783218	0.006292798	-0.40153938	0.19321146	0.08911289	0.28232435
-17	-0.39864926	0.004266773	-0.39438248	0.172548	0.091487479	0.26403548
-15	-0.39101536	0.002249226	-0.38876614	0.15278177	0.093821788	0.24660356
-13	-0.38448648	0.000385217	-0.38410127	0.13372508	0.096303971	0.23002905
-11	-0.3756374	-0.001038523	-0.37667592	0.11514481	0.099436213	0.21458103
-9	-0.355363	-0.001679007	-0.35704201	0.096785125	0.10399299	0.20077812
-7	-0.31115251	-0.001368115	-0.31252063	0.079168395	0.11024885	0.18941725
-5	-0.23802598	-0.000351921	-0.2383779	0.063823208	0.11728729	0.1811105
-3	-0.14192478	0.000914975	-0.1410098	0.052320338	0.12366872	0.17598906
-1	-0.032856792	0.002096727	-0.030760065	0.045489574	0.12838369	0.17387327
1	0.080613627	0.00310392	0.083717547	0.043774197	0.13078416	0.17455835
3	0.18980007	0.003826862	0.19362694	0.047044111	0.13084882	0.17789293
5	0.28906309	0.004269846	0.29333293	0.055001972	0.12881641	0.18381838
7	0.37333144	0.004369402	0.37770085	0.067201172	0.12511416	0.19231534
9	0.43943114	0.004051295	0.44348243	0.082846647	0.12046828	0.20331493
11	0.48702003	0.003204488	0.49022452	0.10129713	0.11532364	0.2166207
13	0.51864863	0.001835385	0.52048402	0.12179109	0.11010885	0.23189994
15	0.53863969	3.94E-05	0.53867906	0.14373845	0.10502086	0.24875931
17	0.55124763	-0.002023018	0.54922462	0.16677121	0.10011976	0.26689097
19	0.55990395	-0.004205198	0.55569876	0.19074669	0.095419063	0.28616575
21	0.56687329	-0.00638582	0.56048747	0.21570867	0.090920547	0.30662922
23	0.5737374	-0.00848597	0.56525143	0.24189698	0.086637513	0.3285345
